Codon,alpha,beta,beta-alpha,Posterior Prob Positive Selection,Posterior Prob Negative Selection,Potential Scale Reduction Factor,Effective sample size,Estimated variance of the posterior prob of positive selection,Empirical Bayes Factor
1,0.231089,0.10345,-0.127639,0.0532293,0.911675,1.0031,620.936,0.000327111,0.0893618
2,0.214598,0.235354,0.0207564,0.528919,0.323877,1.03949,119.333,0.00632604,1.78459
3,0.161135,0.241953,0.0808181,0.778115,0.145711,1.01548,250.237,0.00253381,5.57393
4,0.271529,0.135675,-0.135854,0.0515051,0.914745,1.0015,771.346,0.000272899,0.08631
5,0.200785,0.311997,0.111213,0.814593,0.0361808,1.24581,27.6145,0.0073956,6.98329
6,0.696274,0.195811,-0.500462,0.00628735,0.973898,1.07965,66.3648,1.27661e-05,0.0100566
7,0.687388,0.234584,-0.452804,0.0119458,0.923645,1.13545,43.0833,9.15485e-05,0.0192168
8,0.818773,0.138331,-0.680442,0.00317015,0.992686,1.00265,656.775,1.8054e-06,0.00505481
9,0.513076,0.0840475,-0.429029,4.37141e-05,0.999863,1.00691,424.818,4.769e-10,6.94842e-05
10,0.162462,0.137471,-0.0249907,0.309543,0.584528,1.00632,446.349,0.00475008,0.712574
11,0.178858,0.188261,0.00940294,0.499368,0.398128,1.00711,418.006,0.00492608,1.58543
12,0.123429,0.104555,-0.0188746,0.309852,0.566008,1.00659,436.437,0.00647639,0.713605
13,0.278262,0.196769,-0.0814938,0.114681,0.78651,1.02056,202.037,0.00163967,0.205891
14,0.178869,0.236858,0.0579894,0.714919,0.184751,1.02279,186.449,0.00403086,3.98597
15,0.281335,0.235034,-0.0463005,0.222153,0.586075,1.07916,66.703,0.00568032,0.453946
16,0.174521,0.203566,0.0290451,0.603409,0.292675,1.01077,322.743,0.00546722,2.41833
17,0.143727,0.139818,-0.00390903,0.435884,0.464624,1.00849,376.073,0.00523643,1.22814
18,0.21074,0.104955,-0.105785,0.0283984,0.944398,1.0006,893.648,0.000120683,0.046457
19,0.0457743,0.240712,0.194937,0.981689,0.010775,1.00548,481.519,3.62714e-05,85.2133
20,0.182805,0.0923536,-0.0904513,0.0454881,0.913364,1.00034,936.299,0.000313087,0.0757464
21,0.230462,0.135964,-0.0944976,0.0553703,0.900451,1.0027,652.841,0.000405207,0.0931668
22,0.224855,0.234845,0.00999013,0.474248,0.375947,1.03946,119.431,0.00675616,1.43374
23,0.266169,0.160965,-0.105203,0.0615448,0.891167,1.00349,592.816,0.000480911,0.104237
24,0.730946,0.315158,-0.415788,0.106324,0.523998,1.18087,34.4775,0.0089847,0.189102
25,0.290018,0.291117,0.00109833,0.355425,0.268673,1.25406,26.9907,0.0222321,0.876436
26,0.208286,0.00208253,-0.206204,6.65011e-07,0.999993,1.00135,789.94,2.97104e-13,1.057e-06
27,0.172416,0.0592215,-0.113195,0.00752805,0.976681,1.00058,897.299,2.05325e-05,0.0120562
28,0.370653,0.363523,-0.00713032,0.275174,0.151452,1.3122,23.5269,0.0376854,0.60342
29,0.193976,0.170167,-0.0238094,0.33431,0.56495,1.00558,477.292,0.00462863,0.798221
30,0.468867,0.057435,-0.411433,0.0468556,0.92801,1.00082,861.081,0.000284206,0.0781355
31,0.175488,0.156278,-0.0192105,0.352858,0.543982,1.00609,455.547,0.00497538,0.866655
32,0.147784,0.203921,0.0561375,0.732972,0.186294,1.00708,418.915,0.00374209,4.36291
33,0.235819,0.256163,0.0203439,0.509715,0.292901,1.09289,58.4341,0.00871842,1.65244
34,0.210734,0.16067,-0.050064,0.218581,0.693779,1.00473,518.295,0.00290677,0.444605
35,0.284567,0.304199,0.0196312,0.406265,0.186307,1.29993,24.1463,0.0308514,1.08758
36,0.175933,0.273135,0.0972022,0.820312,0.0830645,1.07583,69.1384,0.00256391,7.25614
37,0.248623,0.00215907,-0.246463,1.83485e-07,0.999998,1.00132,793.088,2.47846e-14,2.9164e-07
38,0.171059,0.0319565,-0.139103,0.00342414,0.986842,0.999958,1008.33,4.50254e-06,0.00546119
39,0.354582,0.153117,-0.201466,0.0216142,0.957329,1.00305,624.634,6.88678e-05,0.0351136
40,0.18138,0.196457,0.0150773,0.527479,0.363794,1.00922,357.052,0.00576424,1.77431
41,0.313235,0.110332,-0.202904,0.00881929,0.982068,1.002,716.74,1.18539e-05,0.0141425
42,0.306872,0.285899,-0.0209725,0.313289,0.332043,1.22582,29.3118,0.0179985,0.725132
