Codon,alpha,beta1,p1,beta2,p2,LRT,p-value,q-value,Log(L)
1,0.88192,0.0,0.738856,1.3785,0.261144,0.167107,0.544794,0.950364,-55.9836
2,0.555346,0.0,0.483529,1.67781,0.516471,2.03519,0.179538,0.575255,-92.236
3,0.464141,0.464141,6.0e-09,0.879941,1.0,1.20046,0.28457,0.770301,-90.5134
4,1.08724,0.0,0.706331,1.58438,0.293669,0.191222,0.534463,0.942816,-69.2686
5,0.468025,0.351762,0.372423,1.92795,0.627577,3.02753,0.105781,0.474504,-114.273
6,2.32812,0.572261,0.34049,0.57853,0.65951,0.0,0.67,0.692039,-102.344
7,2.57608,0.692584,0.720433,0.739225,0.279567,0.0,0.67,0.683052,-126.215
8,2.35141,0.0,0.730188,2.11641,0.269812,0.0,0.67,0.779185,-93.4353
9,2.06325,0.222703,0.671019,0.222662,0.328981,0.0,0.67,0.735594,-83.0129
10,0.467506,0.263405,0.740023,0.721798,0.259977,0.0160886,0.636616,0.979889,-76.2514
11,0.466471,0.0,0.309007,0.768303,0.690993,0.312321,0.488965,0.93619,-77.3683
12,0.21356,0.129787,0.964076,343.397,0.035924,7.3786,0.0111987,0.175819,-61.7177
13,1.25758,0.515228,0.970649,4.01304,0.029351,0.0930082,0.581012,0.960199,-105.466
14,0.432584,0.0,0.389979,1.3385,0.610021,2.54346,0.136699,0.499111,-97.3499
15,0.825761,0.405859,0.932262,2012.7,0.067738,4.87968,0.040317,0.301418,-107.159
16,0.447246,0.381,0.792357,2.42719,0.207643,1.13792,0.294869,0.746685,-99.0583
17,0.379635,0.34832,0.235894,0.419095,0.764106,0.00631066,0.649749,0.980871,-65.4042
18,0.741926,0.279417,0.155271,0.28473,0.844729,0.0,0.67,0.756763,-83.2203
19,0.0,0.0,0.67786,3.8868,0.32214,18.8555,3.39016e-05,0.00532255,-76.884
20,0.563451,0.0,0.713943,0.922794,0.286057,0.215503,0.524568,0.946634,-67.4005
21,0.787605,0.0,0.372202,0.695497,0.627798,0.0,0.67,0.674295,-83.4632
22,0.695944,0.442845,0.914624,9.01275,0.085376,0.956103,0.32741,0.778839,-97.5438
23,1.03157,0.0,0.55158,1.27429,0.44842,0.0589801,0.601438,0.963529,-100.146
24,3.06182,0.488513,0.726312,4.85205,0.273688,0.108519,0.572702,0.977328,-124.979
25,1.11496,0.0,0.535941,2.46745,0.464059,1.47104,0.244498,0.710854,-110.358
26,0.704821,0.0,1.0,0.0,0.0,0.0,0.67,0.705973,-20.8249
27,0.56363,0.0,0.587419,0.538585,0.412581,0.0,0.67,0.696623,-70.6287
28,1.18757,0.799713,0.869967,4283.61,0.130033,7.61088,0.00994814,0.223123,-142.329
29,0.561632,0.503733,0.204222,0.504994,0.795778,0.0,0.67,0.922719,-89.2017
30,0.451187,0.0,0.918748,1.90935,0.081252,0.144078,0.555222,0.95791,-25.7159
31,0.481269,0.478623,0.0115825,0.484019,0.988417,0.000171247,0.666821,0.969359,-84.6242
32,0.38582,0.38582,6.0e-09,0.715199,1.0,1.20019,0.284613,0.757361,-99.4763
33,0.780433,0.62453,0.979319,194.878,0.020681,5.17693,0.0345883,0.319433,-109.755
34,0.600098,0.0,0.579685,1.43334,0.420315,1.19667,0.285182,0.746226,-91.1861
35,0.686611,0.118345,0.769438,6.95239,0.230562,7.57859,0.0101132,0.198471,-116.946
36,0.394021,0.394021,6.0e-09,0.946231,1.0,2.39742,0.147776,0.504366,-116.987
37,1.07923,0.0,1.0,7.5e-08,0.0,0.0,0.67,0.785,-20.1862
38,0.447384,0.0575434,0.199012,0.0601282,0.800988,0.0,0.67,0.701267,-27.8901
39,1.47759,0.275556,0.958245,15.0985,0.041755,0.948368,0.328887,0.770676,-86.8659
40,0.464592,0.412723,0.944114,16.022,0.055886,2.65198,0.129033,0.482337,-97.8893
41,1.33377,0.198858,0.977474,594.651,0.022526,3.77122,0.0716356,0.401671,-76.324
42,1.15676,0.0670645,0.582817,2.84868,0.417183,1.32601,0.265117,0.730234,-122.713
43,1.00814,1.00813,6.0e-09,1.48905,1.0,0.377291,0.467673,0.929426,-138.73
44,1.75831,0.0,0.222438,3.57916,0.777562,0.767245,0.365984,0.80929,-158.233
45,0.926925,0.029134,0.707349,2.70539,0.292651,1.76686,0.207731,0.627188,-99.1187
46,1.18829,0.559563,0.396034,0.571209,0.603966,0.0,0.67,0.678645,-111.039
47,0.000818085,0.0,0.0468492,0.0,0.953151,0.0,0.67,0.687516,-4.04115
48,3.03622,0.410728,0.786028,8.40927,0.213972,0.623291,0.399424,0.836127,-140.032
49,1.07309,0.418221,1.16777e-08,0.418107,1.0,0.0,0.67,0.720479,-83.3493
50,0.90411,0.0,1.0,5.0e-09,0.0,0.0,0.67,0.762246,-48.4761
51,0.0,0.0,0.903567,1.31636,0.096433,4.97644,0.0383537,0.301077,-24.78
52,2.02872,0.890229,0.999999,0.890191,1.0e-06,0.0,0.67,0.76781,-119.02
53,0.69216,0.257433,0.937139,6.71949,0.062861,3.164,0.0984467,0.454592,-79.6013
54,1.22278,0.0244011,0.837392,0.0273994,0.162608,0.0,0.67,0.773456,-30.3208
55,0.964236,0.400622,0.850866,4.48215,0.149134,0.574108,0.411811,0.839666,-103.825
56,1.87807,0.783178,1.0,0.782461,0.0,0.0,0.67,0.730486,-108.372
57,1.06759,0.0,0.381965,1.83152,0.618035,0.274958,0.502075,0.938402,-112.697
58,0.871474,0.495792,0.965343,20.0499,0.034657,2.89807,0.113261,0.467948,-92.851
59,0.706337,0.499896,0.923725,22.9095,0.076275,2.7609,0.121788,0.478018,-97.0265
60,0.895133,0.0,0.870944,2.29598,0.129056,1.46197,0.245734,0.688932,-70.6813
61,1.74007,0.0,0.674734,2.22365,0.325266,0.105797,0.574125,0.969222,-103.08
62,2.54902,0.0703999,0.783921,0.0703766,0.216079,0.0,0.67,0.740775,-45.39
63,1.43747,0.0587432,0.58683,0.0628881,0.41317,0.0,0.67,0.746028,-64.8365
64,0.602467,0.0744517,0.867831,3.58428,0.132169,0.865516,0.345241,0.785548,-80.668
65,0.655456,0.0,0.77435,0.703288,0.22565,0.00580259,0.650625,0.97284,-56.9449
66,1.12536,0.0,0.518211,0.817027,0.481789,0.0,0.67,0.725448,-88.9477
67,2.68862,0.60929,0.762874,0.675799,0.237126,0.0,0.67,0.751357,-115.653
68,1.21721,0.0,0.607809,1.5196,0.392191,0.0959467,0.579399,0.96772,-95.1534
69,0.0,0.0,0.265257,5.04125,0.734743,18.7319,3.60749e-05,0.00283188,-149.678
70,0.447542,0.0,0.612252,2.07821,0.387748,4.61194,0.0462982,0.290752,-94.3682
