Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
TRIMBISC3,1.23273,0.358578,0.673879,0.360021,0.0769147,1101.28,0.249206,56.9445,2.24265e-14,2.48934e-12
NODE42,0.963097,1.0,0.793364,0.898724,0.0,8282.65,0.206636,23.8885,5.10406e-07,5.61446e-05
THRAJACK2,0.739084,0.33605,0.910924,0.335857,0.0008334,3333.1,0.0882426,23.4999,6.24616e-07,6.80831e-05
NODE40,10.0,1.0,0.42563,1.0,0.0860791,117.174,0.488291,19.7363,4.44492e-06,0.000480051
BUNGMULT4,0.550051,0.409128,0.757643,0.410038,0.00190752,264.034,0.240449,19.5767,4.83194e-06,0.000517018
NODE14,0.929469,0.0,0.87433,0.0,0.00527225,88.1835,0.120398,14.6911,6.33221e-05,0.00671214
NODE47,10.0,0.0,0.896119,0.0,0.0424912,10000.0,0.0613898,13.468,0.000121333,0.01274
BUNGCAND3,3.74104,1.0,0.752124,1.0,0.0499911,55.6853,0.197885,13.1782,0.000141616,0.0147281
NAJASPUT3,1.21921,1.0,0.593022,1.0,0.288022,1427.36,0.118956,12.7572,0.000177316,0.0182636
NODE41,4.7969,0.0,0.752835,0.0,0.054249,487.371,0.192916,12.4201,0.000212364,0.0216612
NODE26,10.0,0.0,0.865207,0.0,0.0436302,9998.15,0.0911628,12.2978,0.000226743,0.0229011
NODE31,10.0,1.0,0.578683,1.0,0.0579602,10000.0,0.363357,11.9202,0.00027764,0.027764
NODE9,10.0,1.0,0.347981,1.0,0.451124,10000.0,0.200895,11.9158,0.000278295,0.0275512
TELEDHAR4,5.58978,0.0,0.577213,0.0,0.0664494,27.1993,0.356338,11.5491,0.000338919,0.033214
NODE17,3.10281,1.0,0.614742,1.0,0.0747562,409.734,0.310502,9.80388,0.000870723,0.0844601
NODE16,10.0,1.0,0.697318,1.0,0.0913664,10000.0,0.211316,9.69519,0.000923753,0.0886802
OPHIHANN29,7.45858,1.0,0.30187,1.0,0.0800497,54.9056,0.61808,9.59403,0.000976054,0.0927251
OPHIHANN15,10.0,7.39098e-06,0.267701,3.2e-06,0.0514687,10000.0,0.68083,9.38349,0.00109474,0.102905
BUNGMULT5,2.50373,0.0,0.46109,0.0,0.0199841,6.70524,0.518926,9.32758,0.00112865,0.104964
OPHIHANN21,10.0,1.0,0.595234,1.0,0.020871,10000.0,0.383895,9.16002,0.0012368,0.113785
THRAJACK3,10.0,5.81966e-07,0.0960161,2.0e-07,0.00945522,10000.0,0.894529,8.48751,0.00178796,0.162705
OPHIHANN22,2.45629,1.0,0.782169,1.0,0.0173161,3571.68,0.200515,8.29013,0.00199305,0.179375
NODE38,10.0,1.0,0.823895,1.0,0.00359184,10000.0,0.172513,8.11422,0.00219597,0.195442
OPHIHANN19,2.05157,1.0,0.933787,1.0,0.0116761,1532.6,0.0545369,8.03516,0.0022939,0.201863
NODE8,10.0,0.0,0.815964,0.0,0.0805018,10000.0,0.103534,7.51612,0.00305747,0.266
NODE19,10.0,0.0,0.887287,0.0,0.0120882,10000.0,0.100625,7.45445,0.003164,0.272104
NODE34,0.666769,0.388057,0.794349,0.387484,0.000137613,4489.86,0.205513,7.05103,0.00396099,0.336684
NODE39,0.850876,0.69603,0.972137,0.69466,0.00575878,10000.0,0.0221042,6.91834,0.00426581,0.358328
NODE43,0.647551,0.164237,0.829205,5.0e-09,0.00119671,10000.0,0.169598,6.86771,0.00438835,0.364233
NODE28,10.0,1.0,0.65198,1.0,0.0252505,498.688,0.32277,6.28411,0.00609127,0.499484
OPHIHANN25,2.76032,0.585601,0.652951,0.586515,0.0655628,24.5359,0.281486,6.26847,0.00614526,0.497766
DISPTYPU3,1.69332,0.0,0.812451,0.0,0.0222146,16.8751,0.165334,5.79067,0.00805573,0.644459
LIOPPOEC2,0.885157,1.0,0.866425,1.0,0.00428235,10000.0,0.129293,5.20558,0.0112573,0.889323
NODE15,10.0,5.0e-09,0.736209,8.18034e-07,0.0,9999.87,0.263791,4.85098,0.0138152,1.0
LIOPPOEC3,2.80196,0.0,0.478893,0.0,0.0738409,8.11206,0.447266,4.82724,0.0140067,1.0
ENHYPOLY1,1.24223,1.0,0.793649,8.18034e-07,0.0,3333.05,0.206351,4.81645,0.0140946,1.0
DISPTYPU1,0.559423,0.0,0.87143,0.0,0.00407218,9.89455,0.124498,4.49601,0.0169871,1.0
OPHIHANN18,1.9576,1.0,0.941139,1.0,0.00139717,257.588,0.0574638,4.44826,0.0174684,1.0
NODE27,10.0,0.0,0.791609,0.0,0.02404,69.9216,0.184351,4.42726,0.0176846,1.0
NODE33,3.15018,0.0,0.727091,0.0,0.0284008,22.0576,0.244508,4.166,0.0206216,1.0
NODE36,7.25752,0.856894,0.0,0.869656,0.0,29.9998,1.0,4.14932,0.0208256,1.0
THAMELEG6,0.467595,0.0,0.639285,0.782889,0.0,16.4461,0.360715,3.81082,0.0254613,1.0
NODE25,1.28962,0.0,0.742207,0.0,0.0358281,10.9895,0.221965,3.49985,0.0306872,1.0
NODE13,4.76723,0.700394,0.0,8.18034e-07,0.0,7.22667,1.0,3.26783,0.0353255,1.0
OPHIHANN23,10.0,1.0,0.0865795,1.0,0.0175964,10000.0,0.895824,3.06523,0.0399918,1.0
NODE48,10.0,0.0878782,0.0,0.873472,0.0,10000.0,1.0,2.81835,0.046596,1.0
NODE20,10.0,0.254523,0.0,0.783074,0.0,10000.0,1.0,2.58644,0.0538912,1.0
OPHIHANN32,10.0,0.0877202,0.0,0.642581,0.0,10000.0,1.0,2.50741,0.0566561,1.0
NODE35,10.0,1.0,0.0379851,1.0,0.0825438,16.5142,0.879471,2.22737,0.0677923,1.0
NODE45,10.0,0.089848,0.0,0.794825,0.0,10000.0,1.0,2.20846,0.0686278,1.0
NODE12,10.0,0.497491,0.0,0.88024,0.0,10000.0,1.0,2.14406,0.0715612,1.0
NODE32,2.62407,0.0,0.714778,0.0,0.0776229,49.7392,0.207599,2.03962,0.0766237,1.0
THAMELEG5,1.1438,0.281418,0.606294,0.282624,0.243613,13.0759,0.150093,2.01807,0.0777181,1.0
NODE46,10.0,0.0876295,0.0,0.788061,0.0,10000.0,1.0,1.76767,0.0918353,1.0
LEIOMADA1,3.33277,0.0,0.528488,0.885547,0.0,8.33565,0.471512,1.59314,0.103439,1.0
DISPTYPU2,1.2416,0.0,0.742497,2.2e-06,1.29957e-06,5.33977,0.257502,1.4571,0.113696,1.0
THRAJACK4,0.509343,0.0,0.81522,0.786368,0.0,4.21724,0.18478,1.42111,0.116611,1.0
NODE49,10.0,0.129733,0.0,0.864308,0.0,10000.0,1.0,1.32336,0.124995,1.0
NODE22,10.0,8.18034e-07,0.0,0.00186225,0.0,9621.1,1.0,1.23001,0.133702,1.0
NODE4,0.275959,0.891299,0.861191,0.77893,0.0,768.45,0.138809,1.21163,0.135504,1.0
NODE21,10.0,0.898381,0.0,0.843449,0.0,9996.71,1.0,1.19294,0.137368,1.0
OPHIHANN34,0.276653,0.97129,0.534489,0.0,0.416555,10000.0,0.0489564,0.977487,0.16141,1.0
DISPTYPU4,2.76664,0.842274,0.0,0.872318,0.0,2.72101,1.0,0.880094,0.174088,1.0
OPHIHANN42,1.99467,0.897654,0.0,0.897654,0.0,1.88077,1.0,0.86124,0.176696,1.0
NODE11,10.0,1.0,0.103086,1.0,0.119246,9998.8,0.777668,0.650812,0.209911,1.0
TELEDHAR3,10.0,0.923781,0.0,8.18034e-07,0.0,10000.0,1.0,0.594729,0.220298,1.0
OPHIHANN47,10.0,7.5e-08,0.196236,6.81271e-06,0.0568974,9706.99,0.746867,0.586365,0.221914,1.0
TELEDHAR2,10.0,0.0882814,0.0,0.790451,0.0,7828.42,1.0,0.562914,0.226544,1.0
OPHIHANN51,0.614645,0.382659,0.9344,0.7851,0.0,11.4085,0.0656,0.494015,0.241071,1.0
NODE30,0.982846,1.0,0.975738,1.0,0.00295603,10000.0,0.021306,0.420115,0.25844,1.0
NODE55,10.0,0.975596,0.0,0.92222,0.0,10000.0,1.0,0.359922,0.274275,1.0
NODE6,0.937984,0.944693,0.0,0.78982,0.0,10.0179,1.0,0.27219,0.300933,1.0
NODE5,0.3732,0.217781,0.920738,0.780955,0.0,979.487,0.079262,0.212527,0.322397,1.0
OPHIHANN37,1.26098,0.871815,0.0,0.871884,0.0,1.38588,1.0,0.199899,0.327401,1.0
PSAMMOSS1,0.664345,1.0,0.703042,0.0,0.266553,768.834,0.0304049,0.151433,0.348585,1.0
NODE18,1.24915,0.747318,0.0,0.848455,0.0,1.44617,1.0,0.0879871,0.383376,1.0
NODE3,7.42994e-05,0.0,0.57928,0.930336,0.0,10000.0,0.42072,0.0780322,0.389991,1.0
NODE7,0.392397,0.906049,0.0,0.903558,0.0,1.33071,1.0,0.0182062,0.446334,1.0
MUSMUSC6,0.196245,0.118059,0.892259,0.997365,0.0,1.17322,0.107741,0.00438048,0.473615,1.0
MACAMULA2,10.0,0.0874926,0.00917219,0.792483,0.0090639,3.81825,0.981764,-0.0917751,0.5,1.0
SCHIMANS1,9.27225e-05,2.95686e-05,0.601209,0.958771,0.00261149,5.73041,0.39618,-0.0917753,0.5,1.0
NODE29,10.0,0.0,0.59544,0.0,0.0158204,209.35,0.38874,-1.01875,0.5,1.0
OPHIHANN17,10.0,0.0878782,0.0091469,0.790354,0.00906323,3.76086,0.98179,-0.00611726,0.5,1.0
CALLJACC2,0.094221,0.0,0.904328,0.902196,0.0,1.43401,0.095672,-0.0492283,0.5,1.0
OPHIHANN30,0.000181046,2.30618e-05,0.313038,0.89858,5.61958e-07,1.82014,0.686961,-0.0851414,0.5,1.0
LACHMUTA1,10.0,0.0877409,0.0,0.794909,0.0,0.0,1.0,0.0,1.0,1.0
NODE10,0.453536,0.520666,0.0,0.55181,0.0,0.948195,1.0,0.0,1.0,1.0
OPHIHANN14,0.25077,0.300074,1.0,0.783531,0.0,1.20695,0.0,0.0,1.0,1.0
LIOPPOEC1,0.316711,0.380405,0.0,0.366401,1.0,1.23574,0.0,0.0,1.0,1.0
NODE24,0.155957,0.481616,1.0,0.791675,0.0,1.23955,0.0,0.0,1.0,1.0
TRIMBISC1,1.00369,0.0,0.249684,1.0,0.750316,0.784532,0.0,0.0,1.0,1.0
NODE23,0.341407,0.357997,0.0,0.429023,5.0e-09,0.449609,1.0,0.0,1.0,1.0
TELEDHAR1,0.638306,0.558866,1.0,0.786486,0.0,1.22216,0.0,0.0,1.0,1.0
THRAJACK1,0.80637,0.963649,1.0,0.790056,0.0,1.22871,0.0,0.0,1.0,1.0
NODE37,0.898848,0.794162,1.0,0.869197,0.0,0.839822,0.0,0.0,1.0,1.0
TRIMBISC2,1.1826,0.756113,0.684836,0.689726,1.57582e-09,0.756906,0.315164,0.0,1.0,1.0
OPHIHANN16,0.0,0.0,1.0,0.791675,0.0,1.23367,0.0,0.0,1.0,1.0
OPHIHANN20,0.0,0.0,1.0,0.788061,0.0,1.22826,0.0,0.0,1.0,1.0
OPHIHANN31,0.634879,0.662222,1.0,0.788105,0.0,1.231,0.0,0.0,1.0,1.0
NODE44,0.355997,0.142485,1.0,0.791308,0.0,1.23632,0.0,0.0,1.0,1.0
OPHIHANN54,0.609113,0.552474,2.0e-07,0.554558,8.18034e-07,0.555249,0.999999,0.0,1.0,1.0
NODE2,1.59522e-05,2.20244e-05,1.0,0.878444,0.0,1.10876,0.0,0.0,1.0,1.0
EQUUCABA2,0.244967,0.256113,1.0,0.282869,0.0,1.20729,0.0,0.0,1.0,1.0
BOSTAUR1,0.0,0.0,1.0,0.785723,0.0,1.21189,0.0,0.0,1.0,1.0
NODE54,0.0514012,0.154165,1.0,0.781237,0.0,1.20043,0.0,0.0,1.0,1.0
NODE53,0.615559,0.70732,1.0,0.782889,0.0,1.20855,0.0,0.0,1.0,1.0
NODE52,0.0418967,0.0449547,1.0,0.784315,0.0,1.21469,0.0,0.0,1.0,1.0
NODE51,0.0472471,0.0506045,1.0,0.785743,0.0,1.22088,0.0,0.0,1.0,1.0
PONGABEL3,0.332264,0.35713,1.0,0.365883,0.0,1.22503,0.0,0.0,1.0,1.0
PANTROG2,0.0,0.0,1.0,0.789266,0.0,1.23375,0.0,0.0,1.0,1.0
NODE50,0.0,0.0,1.0,0.78931,0.0,1.23131,0.0,0.0,1.0,1.0
