Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
HELOHORR2,0.530937,0.936075,0.837013,0.92823,0.000350491,1767.95,0.162637,91.8755,0.0,0.0
PHILOLFE8,0.560235,0.589134,0.939193,0.587017,0.00176228,10000.0,0.0590447,79.9829,0.0,0.0
DEINACUT5,3.94515,1.0,0.595114,1.0,0.0386463,16.8182,0.36624,32.9876,4.63735e-09,6.16767e-07
NODE45,0.894427,0.292543,0.941624,0.303515,0.000258337,53.5456,0.0581177,24.9303,2.97206e-07,3.92312e-05
HELOCINC1,8.35498,1.0,0.847225,1.0,0.0861634,10000.0,0.0666116,22.8698,8.66783e-07,0.000113549
CERACERA3,1.16667,0.321387,0.802444,0.0,0.0196312,10.9411,0.177925,21.4477,1.81805e-06,0.000236346
NODE6,0.810534,0.0,0.802021,0.7846,0.0,16.7588,0.197979,18.4766,8.60013e-06,0.00110942
MACRLEBE2,2.82322,0.0,0.573435,0.0,0.0400096,9.501,0.386555,16.8474,2.02543e-05,0.00259255
CELEWARR3,1.17609,0.904981,0.975058,0.0,0.00478737,10000.0,0.0201546,16.5336,2.38976e-05,0.00303499
NODE25,5.56118,1.0,0.946408,1.0,0.00751419,187.89,0.0460778,16.1542,2.91951e-05,0.00367859
VARAINDI1,0.945365,0.235943,0.931094,0.228785,0.0,22.7559,0.068906,15.5369,4.04543e-05,0.00505679
VARAPANO2,0.800432,0.612569,0.994866,0.610927,9.16624e-05,642.041,0.00504234,14.5478,6.83248e-05,0.00847228
NODE51,10.0,5.0e-09,0.62303,2.0e-07,0.0895251,10000.0,0.287445,14.3304,7.6684e-05,0.00943213
NODE28,1.71605,1.0,0.981917,1.0,0.00296471,1177.55,0.0151183,13.7304,0.000105507,0.0128719
TRIMFLAV3,1.48288,0.0532314,0.786203,0.0552227,0.00956224,10.3675,0.204235,13.2536,0.000136029,0.0164595
NODE65,6.43695,1.0,0.98537,1.0,0.00204734,326.99,0.0125827,11.9873,0.000267826,0.0321391
OPHIHANN44,0.63627,0.0340308,0.914948,0.775145,0.0,53.4761,0.085052,11.9464,0.000273772,0.0325789
GLOYHALY1,0.794559,0.0954988,0.979386,1.0,0.00309874,223.821,0.0175153,11.6196,0.00032631,0.0385046
NODE48,0.801186,0.0,0.971498,0.0,0.000720536,56.4103,0.0277815,11.1335,0.000423922,0.0495989
