Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
NODE13,10.0,5.0e-09,0.960042,2.2e-06,0.00467988,10000.0,0.0352781,25.2474,2.52141e-07,1.53806e-05
NODE23,10.0,0.0,0.932528,0.0,0.0108477,10000.0,0.0566243,21.4309,1.8341e-06,0.000110046
GALLGALL3,0.120578,0.0109098,0.97987,0.0110812,0.00434005,61.3855,0.01579,17.9201,1.15186e-05,0.000679597
NODE17,1.18539,1.0,0.984697,1.0,0.00348097,2188.24,0.011822,17.8403,1.20118e-05,0.000696684
BOTHJARC3,0.510023,0.427638,0.992297,0.428746,0.000123826,1325.36,0.00757917,16.7388,2.14479e-05,0.00122253
NODE16,1.37289,0.670081,0.969939,0.761486,0.00471651,52.792,0.0253445,14.4137,7.33638e-05,0.00410837
BOTHMOOJ1,1.98669,1.0,0.993614,1.0,0.000110283,10000.0,0.00627572,14.1424,8.47404e-05,0.00466072
NODE29,0.568896,0.0,0.820277,0.880631,0.0,9.48648,0.179723,10.8286,0.000499716,0.0269847
DEMAVEST2,2.13955,0.0,0.497719,5.0e-09,0.0112742,4.96384,0.491007,9.961,0.000799454,0.0423711
NODE18,1.61224,0.0,0.821422,0.0,0.014456,12.2978,0.164122,9.83373,0.000856701,0.0445485
NODE9,0.835624,0.0,0.997872,0.872685,0.0,2271.44,0.002128,9.70604,0.000918315,0.0468341
CALLRHOD2,1.48301,0.0,0.769486,0.0,0.00267385,7.91977,0.22784,8.02918,0.00230148,0.115074
NODE24,0.398061,0.28742,0.904076,0.285299,2.00043e-05,11.0994,0.095904,7.89587,0.00247739,0.121392
NODE10,10.0,0.960535,0.0,0.879109,0.0,10000.0,1.0,7.27584,0.00349441,0.167732
NODE5,10.0,0.0,0.969673,7.5e-08,0.00831157,10000.0,0.0220154,7.22019,0.00360441,0.169407
NODE7,1.041,0.0,0.852322,5.0e-09,0.00118985,8.22492,0.146488,6.66168,0.0049254,0.226568
NODE27,0.160052,0.1108,0.961632,0.110809,0.00218125,1791.54,0.0361867,5.45625,0.00974923,0.438715
NODE19,10.0,0.908515,0.0,0.938961,0.0,10000.0,1.0,5.14362,0.011666,0.513304
NODE12,1.1798,0.0,0.85792,7.5e-08,0.00102063,9.97142,0.141059,4.79433,0.0142768,0.613901
NODE26,10.0,7.5e-08,0.566526,0.0,0.0710017,10000.0,0.362472,3.52411,0.0302412,1.0
DABORUSS3,0.266792,0.0750501,0.966462,0.48904,0.0,10.2099,0.033538,3.46509,0.0313386,1.0
NODE20,0.841038,0.0584078,0.962239,0.342635,0.00246263,33.7047,0.0352984,3.3206,0.0342084,1.0
NODE8,0.675796,0.0,0.941891,0.0,0.000603398,13.3283,0.0575056,3.1169,0.0387421,1.0
NODE2,0.156734,0.0,0.786617,1.0,0.170613,58.5298,0.0427703,2.8148,0.0466994,1.0
ANOLCARO19,0.236529,0.179321,0.9542,0.882097,0.0,5.53925,0.0458,2.4185,0.059955,1.0
NODE4,0.459256,0.0,0.837607,0.979231,0.0,3.82955,0.162393,2.40707,0.060394,1.0
NODE21,10.0,0.0102287,0.0,0.970984,0.0,10000.0,1.0,2.36906,0.0618808,1.0
BUNGMULT1,0.337776,0.0,0.933093,0.945226,0.0,5.96446,0.066907,1.87008,0.0857331,1.0
NODE11,0.681411,0.0,0.815135,0.857671,0.0,4.27244,0.184865,1.67475,0.0978116,1.0
NOTESCUT2,0.875449,0.148806,0.870568,0.987458,0.0,6.17938,0.129432,1.51637,0.109085,1.0
SISTCATE5,0.354821,0.109888,0.969364,0.964274,0.0,10.381,0.030636,1.48399,0.111576,1.0
NAJAATRA2,1.15231,0.0549592,0.637074,0.970375,0.0,3.37324,0.362926,1.2346,0.133257,1.0
NODE22,0.963723,0.253521,0.805312,1.0,0.00364516,4.28822,0.191043,0.90876,0.170222,1.0
MELEGALL2,0.338768,0.166406,0.860801,0.997221,0.000108849,4.11281,0.13909,0.683514,0.20419,1.0
NODE25,10.0,2.10983e-06,1.37516e-05,2.2e-06,0.681229,10000.0,0.318758,0.615689,0.216327,1.0
NODE30,0.16762,0.0,0.72459,0.931995,0.0,1.27735,0.27541,0.58433,0.22231,1.0
XENOTROP2,0.198343,0.00602467,0.613884,1.0,0.320493,1187.48,0.065623,0.544026,0.230384,1.0
PSEUAUST2,1.34422,0.961061,0.0,0.953261,0.0,1.35688,1.0,0.505932,0.238453,1.0
NODE3,0.227889,0.0,0.76556,0.94064,0.0,1.29193,0.23444,0.46604,0.247407,1.0
OPHIHANN2,10.0,0.957726,0.0,0.866161,0.0,9639.49,1.0,0.397074,0.264302,1.0
ECHIOCEL1,0.927092,1.0,0.246883,0.0,0.483475,2.77035,0.269642,0.366639,0.272421,1.0
NODE15,1.22791,0.891701,0.0,0.964288,0.0,1.22704,1.0,0.0816052,0.387567,1.0
NODE6,1.10957,0.956261,0.0,0.973799,0.0,1.20712,1.0,0.042018,0.418793,1.0
BOTHNEUW1,1.14358,0.983675,0.0,0.223737,0.0,1.24555,1.0,0.0351748,0.425615,1.0
ANOLCARO17,0.0,0.0,0.994031,0.881109,0.0,10000.0,0.005969,-2.30293,0.5,1.0
OPHIHANN58,0.734101,0.769069,1.2e-06,0.768425,0.999999,1.72375,0.0,0.0,1.0,1.0
BUNGFASC1,0.478582,0.479334,1.0,0.714774,0.0,1.63193,0.0,0.0,1.0,1.0
OXYUSCUT1,0.521137,0.529579,1.0,0.910042,0.0,1.56789,0.0,0.0,1.0,1.0
CROTADAM5,0.116771,0.123792,1.0,0.864369,0.0,1.57917,0.0,0.0,1.0,1.0
CROTATRO4,0.0,0.0,1.0,0.92583,0.0,1.62926,0.0,0.0,1.0,1.0
CROTADAM4,0.0,0.0,1.0,0.966103,0.0,1.26931,0.0,0.0,1.0,1.0
VIRISTEJ7,0.498353,0.512829,1.0,0.50653,0.0,1.5296,0.0,0.0,1.0,1.0
VIRISTEJ6,0.831957,0.854918,1.0,0.878067,0.0,1.58876,0.0,0.0,1.0,1.0
GLOYBLOM1,0.0,0.0,1.0,0.878113,0.0,1.53836,0.0,0.0,1.0,1.0
GLOYHALY2,0.333826,0.342678,1.0,0.882797,0.0,1.5902,0.0,0.0,1.0,1.0
NODE14,0.368841,0.480515,1.0,0.912489,0.0,1.59943,0.0,0.0,1.0,1.0
ANOLCARO15,10.0,0.251895,0.0160082,0.0782703,0.640979,0.361329,0.343013,0.0,1.0,1.0
ANOLCARO16,10.0,0.097065,0.00987757,0.956416,0.00805725,0.0955339,0.982065,0.0,1.0,1.0
OPHIHANN55,0.0,0.0,1.0,0.880287,0.0,1.59807,0.0,0.0,1.0,1.0
NODE28,0.173094,0.0,0.662962,0.748905,0.337038,1.09619,0.0,0.0,1.0,1.0
ANOLCARO18,0.306398,0.287985,1.0,0.891187,0.0,2.11772,0.0,0.0,1.0,1.0
