Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
NODE10,1.7869,0.0,0.709288,0.0,0.0991555,393.137,0.191557,23.3444,6.77186e-07,5.21434e-05
NODE15,1.21198,0.767936,0.817551,0.0,0.000622729,146.652,0.181826,22.2553,1.19351e-06,9.07067e-05
NODE29,1.09914,1.0,0.45134,0.0,0.0887183,3334.32,0.459942,17.1433,1.73312e-05,0.00129984
MACRLEBE1,1.15488,0.728809,0.901574,0.723081,0.00892749,38.0717,0.0894985,16.2676,2.74976e-05,0.00203482
OPHIHANN49,1.10346,0.39279,0.803548,5.0e-09,0.00272188,11.8093,0.19373,15.6824,3.74591e-05,0.00273452
MICRCORA1,2.32678,0.984269,0.756019,1.0,0.0387356,30.5512,0.205245,14.6246,6.55953e-05,0.00472286
NODE25,0.694871,0.0,0.842238,0.827338,0.0,13.9067,0.157762,13.7168,0.000106273,0.00754538
LEIOMADA3,1.35457,0.587358,0.849211,0.591525,0.0122636,33.8075,0.138525,13.4536,0.00012227,0.00855888
DEINACUT3,3.43683,0.949705,0.802849,0.951764,0.028358,37.3289,0.168793,13.4342,0.000123537,0.00852404
NODE17,5.42688,1.0,0.88006,1.0,0.0217284,157.018,0.0982115,10.2151,0.000696492,0.0473615
THRAJACK5,0.658171,0.620666,0.944342,0.620484,0.0021661,3333.11,0.0534919,9.8584,0.00084529,0.0566344
PSEUAPOD2,0.38425,0.0,0.647265,0.825599,0.0,24.6995,0.352735,8.97722,0.00136683,0.0902111
NODE18,0.64073,0.0,0.925355,0.0,0.00211998,29.2369,0.072525,8.52334,0.0017531,0.113952
VIRISTEJ1,0.801279,0.0,0.782864,0.82221,0.0,6.662,0.217136,8.4816,0.00179378,0.114802
PSEUTEXT4,1.32496,1.0,0.936266,1.0,0.00302133,10000.0,0.0607127,8.00388,0.00233387,0.147034
OPHIHANN46,0.455329,0.00933642,0.544477,0.913329,0.367522,29.4677,0.0880011,7.71701,0.00273514,0.169579
HOPLSTEP4,1.25329,0.483078,0.915062,0.493753,0.0187886,27.6418,0.0661494,7.6654,0.00281449,0.171684
NODE31,0.735643,0.543317,0.948875,1.0,0.00591179,10000.0,0.0452132,7.61581,0.00289293,0.173576
LIOPPOEC5,0.980286,1.0,0.941581,1.0,0.0010365,1790.81,0.0573825,7.51144,0.00306542,0.18086
