Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
NODE33,10.0,1.0,0.767385,1.0,0.0565743,9999.59,0.176041,36.458,7.79945e-10,5.6936e-08
BOTHNEUW2,0.869315,0.423164,0.914071,0.423383,0.0062358,7245.81,0.0796932,34.5736,2.05217e-09,1.47756e-07
GALLGALL6,0.234993,0.0285556,0.677593,0.79783,0.199756,57.4552,0.122651,18.01,1.09875e-05,0.000780113
ANOLCARO13,0.251962,0.234828,0.961068,0.850346,0.0,10000.0,0.038932,10.8371,0.000497432,0.0348203
SALMSALA1,0.275711,0.0,0.614363,1.0,0.248051,16.4454,0.137586,9.8542,0.000847224,0.0584585
GALLGALL5,0.151103,0.110112,0.982552,0.113573,3.99496e-05,10000.0,0.0174081,8.79413,0.00151101,0.102749
NODE18,3.30972,0.515464,0.963021,0.513231,0.0118161,409.519,0.0251629,5.07667,0.012125,0.812373
NODE23,10.0,5.0e-09,0.936088,7.57133e-06,0.000113764,10000.0,0.0637982,5.06149,0.0122316,0.807287
NODE24,1.35688,0.0,0.962523,0.0,0.00195316,54.2453,0.0355238,4.98994,0.0127476,0.828593
NODE22,0.814466,0.280804,0.95024,0.277015,0.00196045,15.9245,0.0477996,4.59904,0.0159949,1.0
NODE17,0.19112,0.177676,0.966313,0.170579,0.00138878,31.2932,0.0322982,3.83874,0.0250405,1.0
NODE29,0.789623,0.635813,0.960637,0.637678,5.28492e-06,76.2589,0.0393577,3.41333,0.032336,1.0
NODE12,0.725467,0.0,0.94833,0.0004,2.5835e-10,24.9243,0.05167,3.01541,0.0412383,1.0
NODE36,0.16811,0.0,0.863335,0.782899,0.0,2.05114,0.136665,2.87045,0.0451098,1.0
TAENGUTT1,0.137347,0.0952851,0.978946,0.0947993,0.00440909,1466.52,0.0166449,2.71002,0.0498598,1.0
NODE34,10.0,7.5e-08,0.79,1.2e-06,0.0265066,10000.0,0.183493,2.3118,0.0641975,1.0
NODE19,0.358262,0.188891,0.86299,0.879928,0.0,3.4429,0.13701,2.26997,0.0659514,1.0
NODE30,0.0873068,0.0,0.723386,0.300371,0.259278,10000.0,0.0173362,1.81528,0.0889378,1.0
ANOLCARO24,0.712266,0.0,0.559629,0.808101,0.0,1.99492,0.440371,1.80688,0.0894413,1.0
NODE11,0.187633,0.0,0.929476,0.873211,0.0,3.10009,0.070524,1.70709,0.0956816,1.0
NODE8,0.132134,0.123329,0.991768,0.125831,9.72282e-05,1089.19,0.00813477,1.63269,0.100665,1.0
NODE9,10.0,0.0,0.9545,2.0e-07,0.0197065,10000.0,0.0257935,1.30043,0.127068,1.0
ANOLCARO23,0.225818,0.0,0.735271,0.987735,0.254279,10000.0,0.0104504,1.09862,0.147285,1.0
ANOLCARO12,0.565416,0.0,0.671555,0.794917,0.0,4.04462,0.328445,0.871294,0.175299,1.0
GERRINFE4,3.63807,0.886332,0.0,0.884517,0.0,3.02522,1.0,0.785399,0.187748,1.0
XENOTROP4,0.0645147,0.00562549,0.780337,0.400745,0.14802,106.613,0.0716429,0.765895,0.190745,1.0
THAMELEG21,0.415499,0.417438,0.993523,5.0e-09,0.000366524,174.102,0.00611048,0.709364,0.199828,1.0
NODE28,10.0,0.688453,0.0039906,0.962959,7.37159e-05,9285.61,0.995936,0.589562,0.221294,1.0
NODE35,0.0699887,0.0,0.841537,0.412343,0.141135,16.4696,0.0173278,0.41783,0.259011,1.0
CALLJACC1,0.181737,0.167161,0.982669,0.16445,0.0113155,14.03,0.00601552,0.346855,0.277949,1.0
NODE16,0.213494,0.0,0.886867,0.793427,0.0,2.88274,0.113133,0.326777,0.283781,1.0
ECHIOCEL9,0.179484,0.0,0.877194,0.963614,0.0305633,1.87913,0.0922427,0.253836,0.307193,1.0
OPHIHANN57,0.931231,0.0,0.795044,0.93936,0.0,4.39178,0.204956,0.158369,0.345331,1.0
NODE21,0.444,0.0,0.842039,0.818657,0.0,3.50811,0.157961,0.152569,0.348046,1.0
BITIARIE2,1.20745,0.905665,0.0,0.897886,0.0,1.25054,1.0,0.137126,0.355578,1.0
HOMOSAPI15,0.602125,0.0,0.745152,0.0,0.243056,74.442,0.0117921,0.0630798,0.400846,1.0
NODE14,0.112681,0.14006,0.994583,0.150516,0.00246403,10000.0,0.00295297,0.0454574,0.415583,1.0
NODE2,0.00814518,0.0,0.799452,0.26457,0.196382,85.803,0.00416558,0.00916464,0.461867,1.0
ANOLCARO14,7.53632e-05,3.66571e-05,0.770172,0.896605,8.62161e-05,6.00422,0.229742,-0.000142156,0.5,1.0
DANIRERI8,2.72592e-05,1.2579e-05,0.902348,0.971171,0.0753093,2.33874,0.0223427,-0.000142156,0.5,1.0
NODE6,8.62636e-05,4.00501e-05,0.750288,0.893975,0.000137265,3.60805,0.249575,-0.000135956,0.5,1.0
CERACERA1,10.0,0.0937843,0.00974506,0.894387,0.00964774,7.7536,0.980607,-0.000112956,0.5,1.0
